title,rating,date,description,reviewUrl,isVerified,isReviewInIndia,customerName,productSize
Nice,3.0,10 March 2024,Like it but smell not good I don't receive a gift message which I have said ok all well done,https://www.amazon.in/gp/customer-reviews/R26C1IACLK4JU4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,False,True,It's nice smell is not good but herbal oils smell like that only I don't get a message which I have written ,
Nice,3.0,9 March 2024,Nice if u receive genuine product,https://www.amazon.in/gp/customer-reviews/R13RCEH5NI96BN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Sachin gupta,
The packaging is good.,3.0,3 March 2024,The comb is good amd gentle on scalp and hair. Could be a little more longer given the price is on the higher side. The rest is fine. The packaging is good,https://www.amazon.in/gp/customer-reviews/R2R2S1B3X8Y0BS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Tanu Jain,
Very nice quality is great,3.0,3 March 2024,I liked the product very well just go for it guys,https://www.amazon.in/gp/customer-reviews/R1Q18JRXB285JG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Pavithra,
Product,3.0,27 February 2024,Good product 👍,https://www.amazon.in/gp/customer-reviews/R31KFMS7LOOXYV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Jaiswal S.,
good,3.0,24 February 2024,very good,https://www.amazon.in/gp/customer-reviews/R2MFLZNXFZI0LO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Ayat,
honey comb its ok,3.0,22 December 2022,it is good but not that much proper like plastic comb,https://www.amazon.in/gp/customer-reviews/R2GTF7465DPLTD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Shivam s.,
Good product,3.0,3 October 2022,Like,https://www.amazon.in/gp/customer-reviews/R2UPZA9JH5ARH9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,amrutrao  uttamrao kachave,
good,4.0,17 February 2025,good,https://www.amazon.in/gp/customer-reviews/R3NX7BT1NK3U6H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Rhythm,
Good,4.0,7 February 2025,Nice,https://www.amazon.in/gp/customer-reviews/R2JB6AXA9U7D4L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Jatt,
Nice product and durable,4.0,6 February 2025,I like it. My hair fall did not decreased. The feel of it on the scalp is good. The product is durable.,https://www.amazon.in/gp/customer-reviews/RALUBE8NV68K0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Chetna,
Good quality,4.0,5 February 2025,,https://www.amazon.in/gp/customer-reviews/R1TVDVY32KXLNC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Lavanya chaudhary,
Design,4.0,3 February 2025,Sharpness is too good of comb. This product is very beneficial for scalp to increase blood circulation on scalp,https://www.amazon.in/gp/customer-reviews/R2MGE23JHJOZ5S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Jai Prakash Gehlot,
Teeth is very sharp,4.0,18 January 2025,Good quality,https://www.amazon.in/gp/customer-reviews/R1BQP2KGNCPFN3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Very cheap product ,
Good,4.0,17 January 2025,,https://www.amazon.in/gp/customer-reviews/RSPSO03LEROP9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Sandhya,
Good,4.0,17 January 2025,Good,https://www.amazon.in/gp/customer-reviews/R203M1DRXT8PAE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Chiranjib Badjena,
Highly recommended,4.0,18 December 2024,"I’m absolutely thrilled with the Neem Wooden Comb! After using it for a while, I've noticed a significant reduction in hair fall - it's almost completely stopped! The comb's gentle wooden bristles are perfect for detangling, and the neem's natural properties seem to be working wonders for my scalp.",https://www.amazon.in/gp/customer-reviews/R2Y99KODV4PCZ5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Rinki,
Quality,4.0,1 December 2024,"The product is good but due to the gap in the upper part of the comb, it does not penetrate the hair properly while my hair is very thin.",https://www.amazon.in/gp/customer-reviews/R18NJFL7ISQZXE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Swati Swamy,
Nice,4.0,29 November 2024,Same as wide tooth comb,https://www.amazon.in/gp/customer-reviews/R1KBAXRG6RME0G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Amazon Customer,
